Bridge Type,Environment,Load Requirement (kN),Budget (?/kg),Sustainability Priority (1-10),Deck Material,Girders Material,Piers Material,Cables Material,Bearings Material
Cable-Stayed,Cold,893,7000,4,Orthotropic Steel Deck,Steel I-Beam,Concrete Core,None,Neoprene
Cable-Stayed,Humid,716,8000,7,Reinforced Concrete,Steel I-Beam,Steel Column,None,Neoprene
Highway,Coastal,530,7000,10,Prestressed Concrete,Steel Girder,Concrete Core,None,Roller Bearings
Cable-Stayed,Humid,1232,4000,2,Orthotropic Steel Deck,Steel I-Beam,Reinforced Concrete,Parallel Strand Steel,Elastomeric Bearing
Arch,Coastal,1338,4000,1,Concrete Slab,Reinforced Concrete Arch,Reinforced Concrete,None,Elastomeric Bearing
Highway,Coastal,554,4000,6,Prestressed Concrete,Steel Girder,Reinforced Concrete,High Tensile Steel,PTFE Sliding Bearing
Arch,Desert,1331,4000,6,Steel Grid Deck,Reinforced Concrete Arch,Reinforced Concrete,High Tensile Steel,Roller Bearings
Arch,Coastal,793,7000,8,Steel Grid Deck,Steel Truss,Concrete Core,High Tensile Steel,Spherical Bearings
Pedestrian,Humid,1209,7000,9,Reinforced Concrete,Precast Concrete Beam,Steel Column,None,Neoprene
Pedestrian,Humid,1400,2000,2,Timber Plank,Precast Concrete Beam,Concrete Core,None,PTFE Sliding Bearing
Suspension,Desert,1110,5000,7,Steel Plate Deck,High Strength Steel,Steel Column,High Tensile Steel,PTFE Sliding Bearing
Cable-Stayed,Coastal,447,5000,2,Orthotropic Steel Deck,Steel I-Beam,Concrete Core,Parallel Strand Steel,PTFE Sliding Bearing
Suspension,Coastal,834,5000,1,Steel Plate Deck,Steel Box Girder,Reinforced Concrete,Parallel Strand Steel,Neoprene
Highway,Cold,1080,5000,7,Prestressed Concrete,Steel Girder,Prestressed Concrete,High Tensile Steel,Neoprene
Suspension,Humid,1320,7000,4,Steel Plate Deck,Steel Box Girder,Steel Column,None,PTFE Sliding Bearing
Suspension,Cold,1483,4000,8,Orthotropic Steel Deck,Steel Box Girder,Steel Column,High Tensile Steel,PTFE Sliding Bearing
Cable-Stayed,Coastal,1443,8000,2,Reinforced Concrete,Steel I-Beam,Concrete Core,Parallel Strand Steel,PTFE Sliding Bearing
Arch,Desert,1276,3000,4,Steel Grid Deck,Steel Truss,Steel Column,None,PTFE Sliding Bearing
Pedestrian,Cold,1324,2000,10,Steel Grid Deck,Precast Concrete Beam,Prestressed Concrete,None,Neoprene
Cable-Stayed,Humid,347,8000,5,Orthotropic Steel Deck,Steel I-Beam,Reinforced Concrete,None,Neoprene
Suspension,Humid,985,3000,5,Steel Plate Deck,Steel Box Girder,Steel Column,Parallel Strand Steel,Spherical Bearings
Cable-Stayed,Desert,1320,3000,8,Orthotropic Steel Deck,Composite I-Girder,Reinforced Concrete,High Tensile Steel,Spherical Bearings
Pedestrian,Cold,1273,2000,7,Timber Plank,Precast Concrete Beam,Reinforced Concrete,None,Roller Bearings
Cable-Stayed,Humid,467,7000,1,Reinforced Concrete,Composite I-Girder,Steel Column,High Tensile Steel,Roller Bearings
Cable-Stayed,Coastal,878,2000,4,Reinforced Concrete,Composite I-Girder,Prestressed Concrete,None,Roller Bearings
Cable-Stayed,Coastal,944,5000,4,Reinforced Concrete,Steel I-Beam,Steel Column,None,PTFE Sliding Bearing
Highway,Humid,384,8000,9,Reinforced Concrete,Box Girder (Concrete),Reinforced Concrete,Parallel Strand Steel,Spherical Bearings
